id,Title,_school_details_address,_school_sports,Sports
34420,"Virginia Commonwealth U.",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Soccer|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34422,"Boston College",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Fencing|Men>Men's Football|Men>Men's Golf|Men>Men's Ice Hockey|Men>Men's Skiing|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Fencing|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Ice Hockey|Women>Women's Lacrosse|Women>Women's Sailing|Women>Women's Skiing|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34424,"Clemson University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Soccer|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34426,"Duke University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Fencing|Men>Men's Football|Men>Men's Golf|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Fencing|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34428,"Florida State University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Beach Volleyball|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34430,"Georgia Tech",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34432,"Louisville, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34434,"Miami, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Soccer|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34436,"North Carolina State University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Gymnastics|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34438,"North Carolina, U. Of (chapel Hill)",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Fencing|Men>Men's Football|Men>Men's Golf|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Fencing|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Gymnastics|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
